@relation sheep_weight

@attribute Eucl_A_B real
@attribute Eucl_A_C real
@attribute Eucl_A_D real
@attribute Eucl_B_C real
@attribute Eucl_B_D real
@attribute Eucl_C_D real
@attribute EquivalentDiameter real
@attribute AspectRatio real
@attribute Extent real
@attribute Solidity real
@attribute Area real
@attribute Perimeter real
@attribute K_0_19 real
@attribute K_20_39 real
@attribute K_40_59 real
@attribute K_60_79 real
@attribute K_80_99 real
@attribute K_100_119 real
@attribute K_120_139 real
@attribute K_140_159 real
@attribute K_160_180 real
@attribute Hu_0 real
@attribute Hu_1 real
@attribute Hu_2 real
@attribute Hu_3 real
@attribute Hu_4 real
@attribute Hu_5 real
@attribute Hu_6 real
@attribute Major_axis real
@attribute Minor_axis real
@attribute Weight real
@data

833.0918316728355,398.62890010635203,757.617977611408,597.0167501837783,311.4947832628983,681.065341945984,618.5329566013614,1.4444444444444444,0.6270032051282052,0.8929635435627308,300480.0,2587.145434856415,0,19,57,36,60,113,170,706,3191,0.0007957180595040997,2.0463807446154914e-07,2.7577752209797742e-11,2.2841739256651867e-12,-1.6911571923380687e-23,-9.304485012064719e-16,6.53133785808098e-24,876.3270580847135,459.6331984619295,34.2
1013.7622995554727,421.90046219457975,848.8168235844528,735.2781786507743,281.1689883326396,684.2002630809199,631.1544263349508,1.8838951310861423,0.5824007267257876,0.8792699823228703,312868.0,2878.6845388412476,0,16,27,68,114,173,402,849,3219,0.0009048850265647698,3.7500740139251175e-07,5.617633796312572e-11,8.751043476755514e-12,8.036257776190905e-23,2.5425193693861087e-17,-1.7660430159928916e-22,986.0703507969928,432.9574237379855,34.2
838.9809294614508,358.8035674293108,848.729049815075,628.984101547885,252.74493071078598,742.1381273051534,615.486102220366,1.4866310160427807,0.6359126602461347,0.918284707240365,297527.0,2626.743413925171,0,14,46,42,57,107,307,747,3038,0.0008142543201553357,2.3093311473162382e-07,3.1063360955013494e-11,2.463801026063467e-12,-2.014978021640963e-23,-1.0412932417691853e-15,7.65320343321277e-24,888.2195698353357,450.9154171320917,34.2
1006.4790112068905,371.0,795.6506771190483,765.7395118445959,279.0627169652012,642.2810911119834,624.8770871150809,2.077244258872651,0.6434584194458723,0.9083384549311732,306675.5,2673.8489714860916,0,0,0,0,117,116,353,984,2976,0.0009002805094149214,3.8243954090644305e-07,4.403821507182632e-11,7.291330834504922e-12,7.32507308407588e-23,7.966795162965894e-16,-1.0818956925540528e-22,976.635010260106,420.74223447353455,34.2
998.0661300735538,353.6693370932798,765.4835073337636,831.4625668062273,256.56383221335,661.0484097250367,621.7927231612864,1.8114285714285714,0.6081928796755295,0.8692648239673999,303655.5,2755.779991745949,0,32,20,20,50,81,369,838,3047,0.0008910685224388399,3.533743008181067e-07,4.5160709608206994e-11,5.8142240612456175e-12,3.5839994736524226e-24,-1.30937664780587e-15,-9.414636628862284e-23,961.1706444522554,429.4949008645885,34.2
841.9988123507063,440.01022715386966,766.6576811067636,558.3233829959122,297.80866340655706,649.3265742290239,619.392804818897,1.4840989399293287,0.6337624095574625,0.8940344984637844,301316.0,2632.1748723983765,0,22,41,44,58,80,317,723,3193,0.0008001303086934631,2.0820168062540908e-07,2.9523192768262786e-11,2.4772712630791976e-12,-2.103187038112028e-23,-1.0971206263320678e-15,2.548065679972815e-24,880.5020740498969,460.61737854585607,34.2
992.1169285925929,409.0110022970042,799.442305610605,745.8270577017169,245.08773939142694,639.4888583861333,630.9763728560326,2.1180257510729614,0.6798498506333407,0.9082806248048393,312691.5,2711.530210852623,0,0,0,22,56,153,355,653,3223,0.0009476576249652604,4.6892037836353583e-07,5.416925210943551e-11,1.126315559449937e-11,2.103765079238685e-22,3.5199348427947546e-15,-1.820448360269197e-22,1022.4006391693084,410.28148183471956,34.2
1008.6912312496822,404.93085829558606,818.0476758722563,731.2489316231512,290.4134983088768,648.734922753508,615.9710150428342,2.040650406504065,0.6032698474395103,0.8894022420400416,297996.0,2752.6845388412476,0,0,0,46,154,160,304,715,3169,0.0009114058399812938,3.972054212129306e-07,5.815588407722443e-11,1.289892064912866e-11,2.9052523444768495e-22,4.4037512116244275e-15,-2.0101330910208337e-22,970.0472116926796,414.2663850442456,34.2
835.5034410461755,361.41112323778856,355.64729719203547,578.013840664737,585.3520308327289,415.5827234137627,579.5740303809606,2.0096153846153846,0.7585917372101583,0.9470408115646527,263820.0,2333.6652059555054,0,0,0,0,95,164,324,479,2811,0.0008112409617308575,2.5698922465625817e-07,1.280315683324791e-11,3.2411424174139147e-12,2.0730950654915025e-23,1.616077080650236e-15,2.4803863594374324e-24,843.9181018896564,405.47448263535705,34.2
