@relation sheep_weight

@attribute Eucl_A_B real
@attribute Eucl_A_C real
@attribute Eucl_A_D real
@attribute Eucl_B_C real
@attribute Eucl_B_D real
@attribute Eucl_C_D real
@attribute EquivalentDiameter real
@attribute AspectRatio real
@attribute Extent real
@attribute Solidity real
@attribute Area real
@attribute Perimeter real
@attribute K_0_19 real
@attribute K_20_39 real
@attribute K_40_59 real
@attribute K_60_79 real
@attribute K_80_99 real
@attribute K_100_119 real
@attribute K_120_139 real
@attribute K_140_159 real
@attribute K_160_180 real
@attribute Hu_0 real
@attribute Hu_1 real
@attribute Hu_2 real
@attribute Hu_3 real
@attribute Hu_4 real
@attribute Hu_5 real
@attribute Hu_6 real
@attribute Major_axis real
@attribute Minor_axis real
@attribute Weight real
@data

923.2166592950974,794.3651553284548,345.5792239125495,239.7602969634464,721.3431915530915,681.0499247485459,580.7355514777211,1.9430379746835442,0.6067485351182214,0.8648557313995213,264878.5,2746.2997628450394,0,0,49,68,98,164,272,596,3193,0.0009784341576451962,5.24697654400301e-07,5.990719884641435e-11,2.4041546810076526e-11,8.947633404738544e-22,1.5643630456069507e-14,1.7850501919914147e-22,961.410421742843,371.37086661905596,33.2
825.3490170830762,769.6083419506314,332.54323027239633,302.3673262771624,570.8800224215242,630.7408342576213,550.2425051206388,1.852017937219731,0.6454806784004169,0.8918645733317331,237792.5,2391.0794194936752,0,0,0,62,118,105,236,663,2779,0.0008618192900997978,3.2983276793530216e-07,2.4194983305998733e-11,8.732559856612612e-12,1.2693144822767107e-22,5.0147772760056426e-15,-6.551563975610457e-25,836.5131305668671,374.2840401358088,33.2
890.8338790144883,785.1987009668317,335.0462654619508,230.51247254758255,659.3094872667918,636.019653784378,544.9808549499376,2.0389908256880735,0.6018165447209007,0.8978660590220977,233266.5,2365.5890859365463,0,0,0,81,75,141,228,471,2810,0.0008960623736686075,3.8608345829613894e-07,4.086064836764782e-11,1.3591189717141139e-11,3.1319128023370132e-22,7.577135327437093e-15,6.70429792194111e-23,851.628546859752,362.3529276408201,33.2
896.300172933153,780.876430685419,257.1089263327899,235.10423220350586,741.037785811223,689.4323752189188,567.4799337706742,1.8028747433264887,0.5915172620244816,0.860392769182621,252924.5,2693.6967314481735,0,0,64,41,153,147,309,603,3129,0.0009481601554678327,4.757735735610249e-07,2.801089744990467e-11,1.3886505480035622e-11,2.732313338715638e-22,9.444959599322531e-15,1.877106247912953e-23,921.4321864113492,365.9822933006772,33.2
914.8644708370744,747.8001069804684,339.53644870617353,229.94347131414713,679.6425531115602,583.3420951722925,567.1943544925615,2.3206106870229006,0.7049629480826749,0.8859474574636874,252670.0,2710.8022890090942,0,23,60,29,114,130,376,557,3109,0.0009918138562234364,5.603376445551584e-07,4.121472634209984e-11,1.8931041387795173e-11,5.2628419824816335e-22,1.3686269125703916e-14,5.1477208222339405e-23,949.3816343844695,354.9379426112005,33.2
925.9616622733363,370.994609125254,726.006198320648,655.7469023945138,328.29864452964165,583.2049382506976,563.5607258826445,1.9701492537313432,0.5756075836033192,0.8428480921769541,249443.0,2619.7972366809845,0,0,12,60,140,166,252,566,3142,0.000935130266054966,4.18027846592035e-07,7.993793964358288e-11,2.227152861197046e-11,8.282734350508601e-22,8.713600592739627e-15,-4.439022131220257e-22,899.1858574576383,384.08096548618573,33.2
905.0966799187809,577.1698190307598,254.57415422622933,367.0490430446591,776.8088567981187,525.837427348035,564.3385099421231,2.3118556701030926,0.7186957671045524,0.8681521588227128,250132.0,2668.341392993927,0,2,66,46,112,90,240,712,3168,0.0009738308657882237,5.181630331431552e-07,4.644860576524679e-11,1.92663959743245e-11,5.644313019667074e-22,1.2324073028466393e-14,-1.1660960747980646e-22,931.8036027565751,360.8472733388207,33.2
870.8294896246911,396.1073086929854,659.0432459254855,604.2391910493724,293.7243605831835,523.2446846361652,549.0866246557008,2.0303030303030303,0.6337181761980843,0.8915875182378689,236794.5,2445.956616997719,0,0,0,63,170,142,217,457,2961,0.0008714164274505179,3.2465017411520223e-07,4.802502282605064e-11,8.424847900230776e-12,1.1133569079380667e-22,1.2530480283450153e-15,-1.2775890271837287e-22,836.2403348539731,382.5698228537341,33.2
914.593898951879,807.8465200766789,321.40317359976393,244.42994906516674,689.6274356491336,663.4485662053992,550.0845546309947,1.9825708061002179,0.5689769925064043,0.8874135339749634,237656.0,2469.22869515419,0,0,0,63,118,126,240,534,2964,0.0009297289110723695,4.3962050563316247e-07,5.2327231612733424e-11,1.991149081127051e-11,6.309559821886545e-22,1.1896664663860451e-14,1.2238967146801384e-22,880.7304074358751,360.3878871804353,33.2
