@relation sheep_weight

@attribute K_0_19 numeric
@attribute K_20_39 numeric
@attribute K_40_59 numeric
@attribute K_60_79 numeric
@attribute K_80_99 numeric
@attribute K_100_119 numeric
@attribute K_120_139 numeric
@attribute K_140_159 numeric
@attribute K_160_180 numeric
@attribute Major_axis numeric
@attribute Minor_axis numeric
@attribute Hu_0 numeric
@attribute Hu_1 numeric
@attribute Hu_2 numeric
@attribute Hu_3 numeric
@attribute Hu_4 numeric
@attribute Hu_5 numeric
@attribute Hu_6 numeric
@attribute Area numeric
@attribute Perimeter numeric
@attribute Weight numeric

@data

0,0,56,110,88,214,351,899,3117,999.4026101452837,370.0711006976462,0.001053916833099209,6.395982624328605e-07,1.282343692745108e-10,4.4113763117599173e-11,3.121027709066089e-21,2.5736325928394516e-14,-1.125900038961321e-21,262838.5,2990.171908020973,43.2
0,0,0,93,145,281,358,895,3100,941.8159548665049,401.5869375993689,0.001001085764871995,4.803398173497818e-07,1.5412923777787812e-10,3.528352489669977e-11,1.8573132491854716e-21,7.114718049803845e-15,-1.822245480299105e-21,255373.5,2949.1180852651596,43.2
0,0,8,104,53,45,169,1066,2583,787.004231567787,440.1285096270266,0.0008044047974135369,1.7733900985086959e-07,4.882350496829557e-11,4.455285465106143e-12,-5.820682591991665e-23,-1.8761107936986938e-15,-3.049092020184734e-23,246661.5,2470.7606588602066,43.2
0,0,0,40,64,93,213,1130,3100,1023.4520487951703,344.0017912689785,0.001108347790619258,7.802812374312319e-07,9.985156170682037e-11,5.3895734886247437e-11,3.9339940672811075e-21,4.5897100464840425e-14,-3.9473662230181937e-22,256585.5,2736.7606588602066,43.2
0,0,34,100,133,183,253,848,3273,931.8445782861648,416.7005241556131,0.0009715728540982963,4.195904652251141e-07,1.4353262530934526e-10,2.23282661020114e-11,3.6968045256402158e-22,-3.582927297283993e-15,-1.2087644024971016e-21,261557.5,2962.265272974968,43.2
0,0,0,21,78,118,344,1092,2729,979.4720269042033,350.45239987249613,0.0010530190984937287,6.626038170463887e-07,1.0511502144508486e-10,5.397147939637807e-11,4.06419418923088e-21,4.39330215912692e-14,-8.913565631352168e-23,250715.0,2687.1109449863434,43.2
0,0,4,115,60,98,231,745,2912,789.0484992107981,447.30623794743025,0.0007987251051576166,1.682735807580745e-07,4.556415027098444e-11,4.173034836974496e-12,-4.781413278392603e-23,-9.722025004428297e-16,3.201502997043058e-23,251354.5,2519.6134711503983,43.2
0,0,0,36,56,110,246,974,2866,994.8682212131392,358.96917708405726,0.0010887703518797569,7.021267044478731e-07,2.0177174108829166e-10,8.806516728682408e-11,1.1499457622617018e-20,6.513931939629506e-14,-2.3600780153430468e-21,250638.0,2696.826674222946,43.2
0,0,0,34,62,130,321,973,3027,1044.644897501943,345.13637410450775,0.0011157767151431831,8.031084538886794e-07,7.280417292036282e-11,4.667010581117638e-11,2.7195911197191166e-21,4.172527228602354e-14,-6.724012263416728e-23,264661.0,2791.939372062683,43.2
0,0,0,58,106,119,277,685,3015,939.8398521423866,398.7917912288151,0.0009669536174436274,4.514310976156605e-07,1.0582190663999745e-10,1.8378041533232462e-11,3.819656490426442e-22,-4.438304099947776e-16,-7.148167085769867e-22,263026.5,2677.6723462343216,43.2
0,0,0,46,64,158,309,857,2817,949.6648302202236,351.22293773954505,0.0010172316669960803,5.966622010111865e-07,4.234895047128661e-11,2.6318997694778906e-11,8.778015654039145e-22,2.0011038338450413e-14,3.903545974518541e-23,245868.0,2636.05712223053,43.2
0,0,0,64,132,141,432,1166,2704,836.915347863539,429.1255740416785,0.0008788605114901444,2.631102034491942e-07,8.960041200804682e-11,1.2158984591868e-11,7.317591242933116e-23,-2.7359940431409347e-15,-3.946017809214443e-22,245485.0,2745.856111764908,43.2
0,32,20,9,105,62,255,869,2945,955.670749426562,359.02102273233373,0.0010102225066773182,5.78118003005986e-07,9.460336838604057e-11,3.475789461782378e-11,1.9334561490136653e-21,2.2110638222310922e-14,-4.840201410498359e-22,251699.5,2654.726168990135,43.2
0,0,34,20,51,114,395,717,3129,977.3100164579929,345.6898418747308,0.0010437123894014024,6.58673541472386e-07,6.042474223353952e-11,3.036965180478186e-11,1.2951071298881266e-21,2.3900020228127404e-14,1.2336619352576205e-22,251188.0,2693.253080368042,43.2
67,35,86,84,94,215,228,789,3411,1056.5872589855085,370.4798807249766,0.0011133797135032503,7.5617005657715e-07,1.697172816575176e-10,5.7599598107419394e-11,5.248349287325629e-21,3.3486388185552377e-14,-2.210798152674154e-21,274613.5,3086.064262509346,43.2
0,0,0,13,81,120,208,862,3167,1017.5315657306958,344.80098447867226,0.001102257152732233,7.65964280297527e-07,8.088976003938827e-11,4.737947662788908e-11,2.9256346902213374e-21,3.924939783461774e-14,2.09635256256961e-22,255472.5,2705.128189921379,43.2
0,0,0,0,89,106,294,768,3035,1003.6858891573215,421.31477120162896,0.0008915861806854334,3.899413371835729e-07,2.6515943891908264e-11,8.2122710485326e-12,1.2074517354805186e-22,4.985689348825195e-15,-1.0314049868695205e-23,324562.5,2656.64290869236,47.5
0,0,0,53,109,91,277,669,3026,920.6122211259608,435.2024595863793,0.0008292380704718212,2.769994464831771e-07,3.3311732967715804e-11,7.814670544772432e-12,1.2323115572136432e-22,3.7873228064972245e-15,-2.667578284640703e-23,305360.0,2564.4591431617737,47.5
0,0,25,51,36,85,220,856,3326,979.1195307040591,450.99674427412987,0.0008655672946148503,3.164807334140602e-07,2.7440379982225573e-11,5.111417931461907e-12,3.555079859710888e-23,2.00455033286893e-16,4.899629683688817e-23,327843.0,2798.650048971176,47.5
0,0,0,26,51,79,108,657,3032,889.4679211104051,430.7428253175071,0.0008038382165843652,2.4843516251770674e-07,9.92359613795663e-12,2.332883072174323e-12,1.1220966698411084e-23,1.162679356035162e-15,2.8872943288659854e-25,296759.5,2409.329200387001,47.5
0,0,0,0,29,63,266,615,2776,822.4441568354025,440.3375281502891,0.0007571680319437358,1.7622225619599824e-07,9.46333990449522e-12,1.4043086465526835e-12,5.111098143586555e-24,5.880642928656412e-16,2.9081145571772604e-25,280730.5,2294.417513012886,47.5
0,0,0,28,122,112,215,856,3156,1030.4618294645757,429.864337996333,0.000915863931459408,4.1519306513957706e-07,3.616140421275651e-11,8.428113308200114e-12,1.2139588548047057e-22,2.776222617948128e-15,8.313823648220064e-23,332406.5,2784.750554203987,47.5
0,0,0,59,52,97,332,764,2734,887.244089639529,444.9488946296768,0.0007962686418057848,2.2680121387298834e-07,2.4194835219160707e-11,4.536823779715265e-12,4.478947049367281e-23,1.8129857347022408e-15,-1.5913099443296064e-23,302154.0,2511.22869515419,47.5
0,0,0,70,99,85,318,979,3132,998.5616895672945,434.2217571031006,0.0008910233304088248,3.692242743935471e-07,1.8841274390140077e-11,4.1024768277687624e-12,2.6884030487440605e-23,6.581163872510534e-16,2.4045024333345047e-23,324920.0,2824.650048971176,47.5
0,0,13,67,36,84,262,692,3526,1038.7561807412474,418.3088013325296,0.0009331430373535618,4.525550689653871e-07,3.7226227666280396e-11,1.391789466367768e-11,3.0848922144595633e-22,8.339659010449358e-15,7.208663449457491e-23,328125.0,2823.7139763832092,47.5
